#
#
# US Geological Survey, Water Resources Data
# retrieved: 2022-11-17 19:14:46 EST      (vaww02)
#
# This file contains USGS Surface-Water Monthly Statistics
#
# Note:The statistics generated from  this site are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit https://waterdata.usgs.gov/nwis/?dv_statistics_disclaimer.
#
# ** No Incomplete data have been used for statistical calculation
#
# This file includes the following columns:
#
#
# agency_cd    agency code
# site_no USGS site number
# parameter_cd
# ts_id
# year_nu Calendar year for value
# month_nu     Month for value
# mean_va monthly-mean value.
#         if there is not complete record
#         for a month this field is blank
#
#
# Sites in this file include:
# USGS 13351000 PALOUSE RIVER AT HOOPER, WA
# 
# Explanation of Parameter Code and ts_id used in the Statistics Data 
# parameter_cd	Parameter Name					ts_id	Location Name
# 00060		Discharge, cubic feet per second		150249	
#
#
agency_cd	site_no	parameter_cd	ts_id	year_nu	month_nu	mean_va
5s	15s	5s	3n	4s	2s	12n
USGS	13351000	00060	150249	2008	1	257.3
USGS	13351000	00060	150249	2008	2	1131
USGS	13351000	00060	150249	2008	3	2147
USGS	13351000	00060	150249	2008	4	1340
USGS	13351000	00060	150249	2008	5	1219
USGS	13351000	00060	150249	2008	6	420
USGS	13351000	00060	150249	2008	7	77.7
USGS	13351000	00060	150249	2008	8	34.2
USGS	13351000	00060	150249	2008	9	37.2
USGS	13351000	00060	150249	2008	10	50.8
USGS	13351000	00060	150249	2008	11	127.2
USGS	13351000	00060	150249	2008	12	105.6
USGS	13351000	00060	150249	2009	1	1375
USGS	13351000	00060	150249	2009	2	999.8
USGS	13351000	00060	150249	2009	3	2692
USGS	13351000	00060	150249	2009	4	2884
USGS	13351000	00060	150249	2009	5	1100
USGS	13351000	00060	150249	2009	6	273.7
USGS	13351000	00060	150249	2009	7	92.7
USGS	13351000	00060	150249	2009	8	50.5
USGS	13351000	00060	150249	2009	9	40.3
USGS	13351000	00060	150249	2009	10	69.3
USGS	13351000	00060	150249	2009	11	111.7
USGS	13351000	00060	150249	2009	12	197.6
USGS	13351000	00060	150249	2010	1	649.6
USGS	13351000	00060	150249	2010	2	364.8
USGS	13351000	00060	150249	2010	3	307.4
USGS	13351000	00060	150249	2010	4	415.4
USGS	13351000	00060	150249	2010	5	538.4
USGS	13351000	00060	150249	2010	6	357.4
USGS	13351000	00060	150249	2010	7	94.5
USGS	13351000	00060	150249	2010	8	29.4
USGS	13351000	00060	150249	2010	9	39.5
USGS	13351000	00060	150249	2010	10	61.7
USGS	13351000	00060	150249	2010	11	102.2
